State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Selling Price,Cost Price,Rainfall,Temperature
Uttar Pradesh,AGRA,2010,Kharif     ,Rice,4342,9413,1526,1184,4.284936449,24.67794899
Uttar Pradesh,ALIGARH,2010,Kharif     ,Rice,64485,131614,1557,1130,13.98778396,24.60002356
Uttar Pradesh,ALLAHABAD,2010,Kharif     ,Rice,141316,328560,1719,1169,9.173520038,23.33017384
Uttar Pradesh,AMBEDKAR NAGAR,2010,Kharif     ,Rice,113002,298099,1844,1066,2.315564187,27.03199815
Uttar Pradesh,AMETHI,2010,Kharif     ,Rice,113314,236940,1803,1053,19.66016485,18.50369374
Uttar Pradesh,AMROHA,2010,Kharif     ,Rice,24355,47127,1651,1156,9.616496616,25.15260781
Uttar Pradesh,AURAIYA,2010,Kharif     ,Rice,37124,99641,1555,1143,30.76712018,25.80939532
Uttar Pradesh,AZAMGARH,2010,Kharif     ,Rice,203577,417536,1778,1098,13.04112446,24.41614456
Uttar Pradesh,AZAMGARH,2010,Summer     ,Rice,1,2,1668,1200,11.84369022,18.00573487
Uttar Pradesh,BAGHPAT,2010,Kharif     ,Rice,4575,10756,1599,1172,27.8824697,25.16096796
Uttar Pradesh,BAHRAICH,2010,Kharif     ,Rice,159111,329519,1641,1068,14.4746231,19.0393847
Uttar Pradesh,BALLIA,2010,Kharif     ,Rice,108568,206931,1659,1161,18.85659871,18.62264553
Uttar Pradesh,BALRAMPUR,2010,Kharif     ,Rice,105641,230192,1708,1186,12.64247959,26.60066469
Uttar Pradesh,BANDA,2010,Kharif     ,Rice,47536,54761,1596,1177,20.15025016,19.01759325
Uttar Pradesh,BARABANKI,2010,Kharif     ,Rice,176864,420936,1793,1094,10.4307232,18.36118874
Uttar Pradesh,BAREILLY,2010,Kharif     ,Rice,163015,270279,1701,1054,20.78952341,23.71042304
Uttar Pradesh,BAREILLY,2010,Summer     ,Rice,1035,1716,1592,1062,19.03901361,23.24771085
Uttar Pradesh,BASTI,2010,Kharif     ,Rice,102314,215473,1754,1186,15.90133281,26.57209817
Uttar Pradesh,BIJNOR,2010,Kharif     ,Rice,55816,131000,1589,1136,9.862572305,24.00005608
