State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Cost Price,Selling Price,Rainfal (cm),Temp,Sunshine,Relative Humidity
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Maize,8852,43924,1249.53,942.5,6.933854612,23.36977978,2743,83
Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Maize,4615,33736,1260,908,6.702412819,19.54441731,2991,80
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Maize,10726,51174,1359.87,1137.5,2.843655653,21.15330185,2536,79
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Maize,4750,43306,1373,972,12.39298432,26.97822612,2954,78
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Maize,25447,63465,1694.27,1040,6.08815972,19.3183417,2715,81
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Maize,6208,48168,1695,1182.632797,6.072966006,20.61841993,2907,79
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Maize,22039,63516,1676.19,1062,9.098521159,25.67880322,2831,79
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Maize,7070,50098,1678,1030,9.098521159,19.21296864,2881,79
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Maize,27087,53226,2082.66,1538,9.467721522,27.50848244,2574,77
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Maize,7777,57970,2091,1646,9.127358864,18.72776413,2520,80
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Maize,16839,42687,2362.23,1707,6.664207216,26.79540606,2557,83
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Maize,4474,31618,2361,1933,6.106644495,22.01215538,2634,82
Andhra Pradesh,CHITTOOR,2009,Kharif     ,Maize,1326,4915,1251,942.5,6.445725358,21.58864254,2514,78
Andhra Pradesh,CHITTOOR,2009,Rabi       ,Maize,611,4466,1237,906,6.438640184,25.33053933,2763,76
Andhra Pradesh,CHITTOOR,2010,Kharif     ,Maize,970,4969,1347,1137.5,12.22487682,22.85815329,2705,80
Andhra Pradesh,CHITTOOR,2010,Rabi       ,Maize,539,4914,1359,952,13.33107511,25.94566052,2793,80
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Maize,930,3084,1696,1056,6.097047935,27.14428215,2716,76
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Maize,877,6805,1707,1006,6.174396823,25.93426498,2857,77
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Maize,1078,4375,1663,1046,9.114040323,23.50770718,2757,81
Andhra Pradesh,CHITTOOR,2012,Rabi       ,Maize,547,3876,1673,1025,9.950461645,24.87342741,2769,76
Andhra Pradesh,CHITTOOR,2013,Kharif     ,Maize,1905,7683,2080,1605,9.079788334,21.24688569,2714,77
Andhra Pradesh,CHITTOOR,2013,Rabi       ,Maize,1303,9713,2061,1728,8.727801286,21.76421731,2631,82
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Maize,2693,8820,2362,1872,6.460485431,25.29054994,2840,82
Andhra Pradesh,CHITTOOR,2014,Rabi       ,Maize,984,6429,2370,1831,6.937072618,21.45682983,2999,83
Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,Maize,983,3547,1260,942.5,6.192456676,23.47600539,2582,83
Andhra Pradesh,EAST GODAVARI,2009,Rabi       ,Maize,8005,59821,1238,913,6.792795663,23.75821758,2850,82
